[2015-12-12 13:45:56] [debug] [cost:141] [mem:2621440] php status
[2015-12-12 13:52:33] [debug] [cost:17] [mem:1048576] php status
[2015-12-12 13:52:35] [debug] [cost:30] [mem:1048576] php status
[2015-12-12 13:52:36] [debug] [cost:25] [mem:1048576] php status
[2015-12-12 13:52:36] [debug] [cost:33] [mem:1048576] php status
[2015-12-12 13:52:36] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 13:52:37] [debug] [cost:25] [mem:1048576] php status
[2015-12-12 13:52:37] [debug] [cost:25] [mem:1048576] php status
[2015-12-12 13:52:37] [debug] [cost:21] [mem:1048576] php status
[2015-12-12 13:52:38] [debug] [cost:28] [mem:1048576] php status
[2015-12-12 14:00:31] [debug] [cost:24] [mem:1048576] php status
[2015-12-12 14:00:31] [debug] [cost:24] [mem:1048576] php status
[2015-12-12 14:00:32] [debug] [cost:39] [mem:1048576] php status
[2015-12-12 14:00:32] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:32] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:32] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:32] [debug] [cost:17] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:23] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:19] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:19] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:33] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:17] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:10] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:11] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:24] [mem:1048576] php status
[2015-12-12 14:00:34] [debug] [cost:18] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:22] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:15] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:16] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:15] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:17] [mem:1048576] php status
[2015-12-12 14:00:35] [debug] [cost:19] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:16] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:17] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:10] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:15] [mem:1048576] php status
[2015-12-12 14:00:36] [debug] [cost:21] [mem:1048576] php status
[2015-12-12 14:00:37] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:37] [debug] [cost:18] [mem:1048576] php status
[2015-12-12 14:00:37] [debug] [cost:16] [mem:1048576] php status
[2015-12-12 14:00:37] [debug] [cost:23] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:13] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:26] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:14] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:15] [mem:1048576] php status
[2015-12-12 14:00:38] [debug] [cost:16] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:11] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:9] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:11] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:12] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:8] [mem:1048576] php status
[2015-12-12 14:00:39] [debug] [cost:16] [mem:1048576] php status
[2015-12-12 14:04:07] [debug] [cost:41] [mem:2621440] php status
[2015-12-12 14:04:54] [debug] [cost:36] [mem:2621440] php status
[2015-12-12 14:04:56] [debug] [cost:24] [mem:1048576] php status
[2015-12-12 14:05:15] [debug] [cost:33] [mem:1048576] php status
